numero_coleta;cliente;razao_social;mtr;ticket;residuo_coleta;peso_liquido_kg;status_conferencia;esteira;motivo;contrato_residuo_match;valor_unitario_contrato;faturamento_minimo_kg;unidade_medida;residuos_no_contrato;caminhoes_com_valor;pendencias_view;acao_sugerida
90027;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260526-115314;115314-1;MIX DE CONTAMINADO;600;PRONTO_PARA_FATURAR;;SEM_MATCH_RESIDUO;;;;;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Conferir nome do resíduo na coleta vs cadastro do cliente
90028;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260526-115314;115314-2;CLASSE II;240;PRONTO_PARA_FATURAR;;VALOR_ZERO_NO_CONTRATO;Classe II;0;;kg;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Preencher valor (R$/kg ou unidade) no cadastro do cliente e salvar
90043;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260526-162103;162103-1;MIX CONTAMINADO;1740;PRONTO_PARA_FATURAR;;SEM_MATCH_RESIDUO;;;;;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Conferir nome do resíduo na coleta vs cadastro do cliente
90044;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260526-162103;162103-2;CLASSE II;110;PRONTO_PARA_FATURAR;;VALOR_ZERO_NO_CONTRATO;Classe II;0;;kg;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Preencher valor (R$/kg ou unidade) no cadastro do cliente e salvar
90104;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260528-181118;181118-1;Resíduos sólidos contaminado — Classe I;520;PRONTO_PARA_FATURAR;;SEM_MATCH_RESIDUO;;;;;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Conferir nome do resíduo na coleta vs cadastro do cliente
90106;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260528-181118;181118-3;Classe II — Classe II;100;PRONTO_PARA_FATURAR;;VALOR_ZERO_NO_CONTRATO;Classe II;0;;kg;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Preencher valor (R$/kg ou unidade) no cadastro do cliente e salvar
90130;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260529-161532;161532-1;MIX CONTAMINADO;300;PRONTO_PARA_FATURAR;;SEM_MATCH_RESIDUO;;;;;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Conferir nome do resíduo na coleta vs cadastro do cliente
90131;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260529-161532;161532-2;CLASSE II;140;PRONTO_PARA_FATURAR;;VALOR_ZERO_NO_CONTRATO;Classe II;0;;kg;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Preencher valor (R$/kg ou unidade) no cadastro do cliente e salvar
90192;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260602-154838;154838-1;MIX CONTAMINADO;170;PRONTO_PARA_FATURAR;;SEM_MATCH_RESIDUO;;;;;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Conferir nome do resíduo na coleta vs cadastro do cliente
90193;ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);ACTEGA DO BRASIL TINTAS E VERNIZES LTDA (Unid Araçariguama Ara 1);MTR-20260602-154838;154838-2;CLASSE II;50;PRONTO_PARA_FATURAR;;VALOR_ZERO_NO_CONTRATO;Classe II;0;;kg;RESÍDUOS SÓLIDOS CONTAMINADOS (R$ 0.62/un) | BORRA DE TINTA DO PROCESSO PRODUTIVO (R$ 0.62/un) | EFLUENTE CONTAMINADO (R$ 0.6/un) | FOSSA SÉPTICA (R$ 0.18/un) | Classe II (R$ 0/un);CAIXA BAIXA | CAMINHÃO BAU | POLIGUINDASTE;"aguardando aprovação do Faturamento, sem valor";Preencher valor (R$/kg ou unidade) no cadastro do cliente e salvar
